[INFO] 2026-02-04 09:40:18,853 [main_window:main_window.py:19] - PLC 모니터링 애플리케이션 시작
[INFO] 2026-02-04 09:40:19,185 [main_window:main_window.py:93] - 윈도우 크기: 1920x1050
[INFO] 2026-02-04 09:40:19,186 [main_window:main_window.py:94] - UI 초기화 완료
[INFO] 2026-06-01 16:46:57,787 [main_window:main_window.py:18] - PLC 모니터링 애플리케이션 시작
[INFO] 2026-06-01 16:46:58,877 [main_window:main_window.py:118] - 윈도우 크기: 1920x1050
[INFO] 2026-06-01 16:46:58,877 [main_window:main_window.py:119] - UI 초기화 완료
[INFO] 2026-06-01 16:47:55,565 [main_window:main_window.py:18] - PLC 모니터링 애플리케이션 시작
[INFO] 2026-06-01 16:47:56,434 [main_window:main_window.py:118] - 윈도우 크기: 1920x1050
[INFO] 2026-06-01 16:47:56,434 [main_window:main_window.py:119] - UI 초기화 완료
[INFO] 2026-06-01 16:55:48,652 [main_window:main_window.py:18] - PLC 모니터링 애플리케이션 시작
[INFO] 2026-06-01 16:55:49,599 [main_window:main_window.py:134] - 윈도우 크기: 1920x1050
[INFO] 2026-06-01 16:55:49,599 [main_window:main_window.py:135] - UI 초기화 완료
[INFO] 2026-06-01 16:56:39,418 [main_window:main_window.py:18] - PLC 모니터링 애플리케이션 시작
[INFO] 2026-06-01 16:56:40,261 [main_window:main_window.py:134] - 윈도우 크기: 1920x1050
[INFO] 2026-06-01 16:56:40,261 [main_window:main_window.py:135] - UI 초기화 완료
[INFO] 2026-06-01 17:02:16,432 [main_window:main_window.py:18] - PLC 모니터링 애플리케이션 시작
[INFO] 2026-06-01 17:02:17,480 [main_window:main_window.py:134] - 윈도우 크기: 1920x1050
[INFO] 2026-06-01 17:02:17,480 [main_window:main_window.py:135] - UI 초기화 완료
[INFO] 2026-06-01 17:03:44,361 [main_window:main_window.py:18] - PLC 모니터링 애플리케이션 시작
[INFO] 2026-06-01 17:03:45,242 [main_window:main_window.py:134] - 윈도우 크기: 1920x1050
[INFO] 2026-06-01 17:03:45,242 [main_window:main_window.py:135] - UI 초기화 완료
[INFO] 2026-06-01 17:34:54,831 [main_window:main_window.py:18] - PLC 모니터링 애플리케이션 시작
[INFO] 2026-06-01 17:34:55,935 [main_window:main_window.py:137] - 윈도우 크기: 1920x1050
[INFO] 2026-06-01 17:34:55,935 [main_window:main_window.py:138] - UI 초기화 완료
[INFO] 2026-06-01 16:46:57,787 [main_window:main_window.py:18] - PLC 모니터링 애플리케이션 시작
[INFO] 2026-06-01 16:46:58,877 [main_window:main_window.py:118] - 윈도우 크기: 1920x1050
[INFO] 2026-06-01 16:46:58,877 [main_window:main_window.py:119] - UI 초기화 완료
[INFO] 2026-06-01 16:47:55,565 [main_window:main_window.py:18] - PLC 모니터링 애플리케이션 시작
[INFO] 2026-06-01 16:47:56,434 [main_window:main_window.py:118] - 윈도우 크기: 1920x1050
[INFO] 2026-06-01 16:47:56,434 [main_window:main_window.py:119] - UI 초기화 완료
[INFO] 2026-06-01 16:55:48,652 [main_window:main_window.py:18] - PLC 모니터링 애플리케이션 시작
[INFO] 2026-06-01 16:55:49,599 [main_window:main_window.py:134] - 윈도우 크기: 1920x1050
[INFO] 2026-06-01 16:55:49,599 [main_window:main_window.py:135] - UI 초기화 완료
[INFO] 2026-06-01 16:56:39,418 [main_window:main_window.py:18] - PLC 모니터링 애플리케이션 시작
[INFO] 2026-06-01 16:56:40,261 [main_window:main_window.py:134] - 윈도우 크기: 1920x1050
[INFO] 2026-06-01 16:56:40,261 [main_window:main_window.py:135] - UI 초기화 완료
[INFO] 2026-06-01 17:02:16,432 [main_window:main_window.py:18] - PLC 모니터링 애플리케이션 시작
[INFO] 2026-06-01 17:02:17,480 [main_window:main_window.py:134] - 윈도우 크기: 1920x1050
[INFO] 2026-06-01 17:02:17,480 [main_window:main_window.py:135] - UI 초기화 완료
[INFO] 2026-06-01 17:03:44,361 [main_window:main_window.py:18] - PLC 모니터링 애플리케이션 시작
[INFO] 2026-06-01 17:03:45,242 [main_window:main_window.py:134] - 윈도우 크기: 1920x1050
[INFO] 2026-06-01 17:03:45,242 [main_window:main_window.py:135] - UI 초기화 완료
[INFO] 2026-06-01 17:34:54,831 [main_window:main_window.py:18] - PLC 모니터링 애플리케이션 시작
[INFO] 2026-06-01 17:34:55,935 [main_window:main_window.py:137] - 윈도우 크기: 1920x1050
[INFO] 2026-06-01 17:34:55,935 [main_window:main_window.py:138] - UI 초기화 완료
