time,tube,job,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,CTC1,CTC2,CTC3,CTC4,CTC5,CTC6,CTC7,CTC8,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,MV1,MV2,MV3,MV4,MV5,MV6,MV7,MV8
2025-11-14 8:15,1,6588,913.3,917.4,917,919,918.6,918.3,917.6,916.4,939.4,896.4,870.5,915.3,915.5,914.1,919.2,926.3,915.1,917.7,918.4,919.1,919.8,918.4,917.8,916.4,60,47,65,50,76,73,72,59
2025-11-14 8:15,1,6588,914.3,917.7,917.8,919,918.2,918.4,917.7,916.4,939.4,896.4,870.7,915.4,915.6,914.3,919.3,926.4,915.1,917.8,918.5,919.2,919.8,918.5,917.8,916.5,76,62,73,46,76,75,74,61
2025-11-14 8:15,1,6588,914.5,917.8,918.3,919.3,919.8,918.6,918,916.6,939.5,896.5,870.8,915.5,915.8,914.4,919.6,926.5,915.2,917.9,918.6,919.3,919.9,918.6,917.9,916.6,76,69,70,51,72,58,58,59
2025-11-14 8:15,1,6588,913.5,917.8,916.9,919.2,918.5,918.6,917.9,916.6,939.5,896.5,870.9,915.5,915.9,914.5,919.7,926.5,915.3,918,918.7,919.3,920,918.7,918,916.7,76,69,70,50,72,42,41,45
2025-11-14 8:15,1,6588,914.9,918,918.9,919.4,920.2,918.8,918.1,916.7,939.6,896.5,871,915.6,915.9,914.6,919.8,926.6,915.3,918,918.7,919.4,920.1,918.8,918.1,916.7,69,59,57,36,58,31,26,30
2025-11-14 8:15,1,6588,915.1,917.9,919.5,919.4,919.5,918.8,918,916.8,939.6,896.6,871.1,915.7,916,914.7,919.7,926.6,915.4,918.1,918.8,919.5,920.2,918.9,918.2,916.8,73,34,38,41,42,60,37,28
2025-11-14 8:15,1,6588,914.5,918,918.2,919.4,918.8,918.9,918.2,916.8,939.6,896.6,871.2,915.8,916.2,914.8,919.8,926.6,915.5,918.2,918.9,919.6,920.3,919,918.3,916.9,76,42,15,43,44,65,41,27
2025-11-14 8:15,1,6588,914.8,918.1,918.9,919.7,920.3,919.1,918.4,917,939.7,896.7,871.2,915.9,916.2,914.9,919.9,926.8,915.5,918.2,919,919.7,920.4,919.1,918.4,917,75,66,27,57,62,62,56,43
2025-11-14 8:15,1,6588,915.1,918.2,918.8,919.6,919.3,919.1,918.3,917,939.6,896.8,871.3,915.9,916.3,915,920,926.9,915.6,918.3,919,919.8,920.5,919.2,918.5,917,75,67,57,44,71,56,42,40
2025-11-14 8:16,1,6588,914.8,918.3,919.2,919.8,919.9,919.2,918.5,917.1,939.7,896.9,871.4,916,916.5,915,920.2,927,915.7,918.4,919.1,919.8,920.6,919.3,918.6,917.1,72,62,44,39,65,57,39,30
2025-11-14 8:16,1,6588,915.6,918.4,920.3,919.8,919.9,919.3,918.5,917.2,939.8,897,871.5,916,916.6,915.1,920.3,927,915.7,918.5,919.2,919.9,920.6,919.4,918.6,917.2,77,55,31,60,74,69,67,31
2025-11-14 8:16,1,6588,914.4,918.2,919.2,919.2,919.5,919.4,918.7,917.2,939.9,897.1,871.5,916,916.6,915.3,920.4,927.1,915.8,918.5,919.3,920,920.7,919.5,918.7,917.3,77,58,8,67,74,66,64,27
2025-11-14 8:16,1,6588,914.6,918.5,918.5,919.9,919.8,919.5,918.7,917.2,940,897.1,871.6,916.2,916.8,915.4,920.6,927.1,915.9,918.6,919.3,920.1,920.8,919.6,918.8,917.3,80,35,6,62,80,53,55,45
2025-11-14 8:16,1,6588,915.8,918.9,920.1,920.1,921.1,919.6,918.9,917.4,940.1,897.1,871.6,916.3,916.9,915.5,920.7,927.1,915.9,918.7,919.4,920.2,920.9,919.6,918.9,917.4,80,37,25,59,72,52,47,56
2025-11-14 8:16,1,6588,915.8,918.8,920.1,920.1,919.7,919.7,918.8,917.4,940.2,897.2,871.7,916.3,917,915.6,920.7,927.3,916,918.8,919.5,920.3,921,919.8,919,917.5,80,23,24,65,41,65,59,72
2025-11-14 8:16,1,6588,914.8,918.5,919.6,920.3,920.5,919.8,919,917.6,940.2,897.2,871.7,916.4,917,915.7,920.9,927.4,916.1,918.8,919.6,920.3,921.1,919.8,919.1,917.6,80,22,4,69,35,63,56,61
2025-11-14 8:16,1,6588,915.5,919,919.8,920.1,921.2,919.9,919.1,917.6,940.4,897.3,871.8,916.4,917.1,915.8,921,927.5,916.1,918.9,919.7,920.4,921.2,919.9,919.2,917.7,80,40,21,75,56,66,62,57
2025-11-14 8:16,1,6588,915.5,918.9,920.2,920.5,921.1,920.1,919.3,917.7,940.4,897.4,871.9,916.6,917.2,916,921.1,927.6,916.2,919,919.7,920.5,921.3,920,919.3,917.7,63,45,22,63,65,55,51,47
2025-11-14 8:16,1,6588,915.7,919,919.1,920.5,920.3,920.1,919.2,917.7,940.3,897.4,872,916.7,917.2,916,921.1,927.6,916.3,919,919.8,920.6,921.4,920.1,919.4,917.8,59,37,14,35,71,34,33,35
2025-11-14 8:16,1,6588,915.7,919.2,920.6,920.7,921.4,920.2,919.4,917.9,940.5,897.5,872,916.8,917.3,916.1,921.2,927.7,916.3,919.1,919.9,920.7,921.4,920.2,919.4,917.9,60,48,7,27,73,15,35,19
2025-11-14 8:16,1,6588,915.9,919.3,920.2,920.6,920.2,920.2,919.4,917.9,940.7,897.5,872.1,916.9,917.5,916.2,921.3,927.8,916.4,919.2,920,920.8,921.5,920.3,919.5,918,76,49,7,47,80,30,54,34
2025-11-14 8:16,1,6588,916.5,919.2,921.4,920.9,921.7,920.4,919.7,918,940.7,897.5,872.1,917,917.6,916.3,921.4,927.8,916.5,919.3,920,920.8,921.6,920.4,919.6,918,58,39,0,62,76,50,66,54
